country,continent,year,life_expectancy,population,gdp_per_capita,iso_alpha,iso_num,gdp_total_usd
Afghanistan,Asia,1952,28.8,8425333,779.45,AFG,4,6567125807
Afghanistan,Asia,1957,30.33,9240934,820.85,AFG,4,7585420674
Afghanistan,Asia,1962,32.0,10267083,853.1,AFG,4,8758848507
Afghanistan,Asia,1967,34.02,11537966,836.2,AFG,4,9648047169
Afghanistan,Asia,1972,36.09,13079460,739.98,AFG,4,9678538811
Afghanistan,Asia,1977,38.44,14880372,786.11,AFG,4,11697609233
Afghanistan,Asia,1982,39.85,12881816,978.01,AFG,4,12598544866
Afghanistan,Asia,1987,40.82,13867957,852.4,AFG,4,11821046547
Afghanistan,Asia,1992,41.67,16317921,649.34,AFG,4,10595878822
Afghanistan,Asia,1997,41.76,22227415,635.34,AFG,4,14121965846
Afghanistan,Asia,2002,42.13,25268405,726.73,AFG,4,18363307966
Afghanistan,Asia,2007,43.83,31889923,974.58,AFG,4,31079281157
Albania,Europe,1952,55.23,1282697,1601.06,ALB,8,2053674859
Albania,Europe,1957,59.28,1476505,1942.28,ALB,8,2867786131
Albania,Europe,1962,64.82,1728137,2312.89,ALB,8,3996990786
Albania,Europe,1967,66.22,1984060,2760.2,ALB,8,5476402412
Albania,Europe,1972,67.69,2263554,3313.42,ALB,8,7500105095
Albania,Europe,1977,68.93,2509048,3533.0,ALB,8,8864466584
Albania,Europe,1982,70.42,2780097,3630.88,ALB,8,10094198595
Albania,Europe,1987,72.0,3075321,3738.93,ALB,8,11498409947
Albania,Europe,1992,71.58,3326498,2497.44,ALB,8,8307729165
Albania,Europe,1997,72.95,3428038,3193.05,ALB,8,10945896736
Albania,Europe,2002,75.65,3508512,4604.21,ALB,8,16153926036
Albania,Europe,2007,76.42,3600523,5937.03,ALB,8,21376413067
Algeria,Africa,1952,43.08,9279525,2449.01,DZA,12,22725649520
Algeria,Africa,1957,45.68,10270856,3013.98,DZA,12,30956154567
Algeria,Africa,1962,48.3,11000948,2550.82,DZA,12,28061438177
Algeria,Africa,1967,51.41,12760499,3246.99,DZA,12,41433212648
